update_step,average_reward,policy_loss,value_loss,entropy,clip_fraction,buffer_size
593,-5015.454002386303,-0.05324519499710369,5238.747197409237,11.027262398456063,0.0,421
1606,-6636.946336863913,-0.05166849008470169,6478.19588672669,11.027262398456061,0.0,704
2694,-8026.698468981591,-0.050292101265531595,7045.190932196255,11.027262398456061,0.0,963
3775,-9305.29152128909,-0.04901506621306593,7277.343101945704,11.027262398456061,0.0,1247
4796,-9701.282497114713,-0.04777084907533992,7381.622316313958,11.027262398456061,0.0,1490
5887,-10267.847382474465,-0.04645689702010973,7690.503387887137,11.027262398456061,0.0,1811
7052,-11910.542449259061,-0.04484483485412898,8336.503989871819,11.027262398456061,0.0,2191
7895,-14220.674297326079,-0.0428883146967857,8788.77810692725,11.027262398456061,0.0,2642
5024,-13698.700263376757,-0.0432395807022198,8775.338084980083,11.027262398456061,0.0,2536
4373,-14214.273099882217,-0.042222045287103924,8789.902387755596,11.027262398456063,0.0,2773
3372,-15430.603397683168,-0.0415692029165225,8799.08380313162,11.027262398456063,0.0,2933
2196,-15014.802120580205,-0.04108750723579575,8809.312064505908,11.027262398456065,0.0,3042
1250,-14766.610482285145,-0.041107606023947266,8348.550583612352,11.027262398456067,0.0,3053
652,-12103.307221714796,-0.041194510276305184,7906.176473721592,11.027262398456072,0.0,3044
258,-9501.415942928088,-0.042767387877911144,8002.668759765625,11.027262398456072,0.0,2660
97,-11386.120632814465,-0.043403529207399795,8573.454809570312,11.027262398456072,0.0,2507
117,-14137.820807405118,-0.04128166434352401,7739.4718017578125,11.027262398456072,0.0,3007
